Ritu K.,2.0 out of 5 stars,"
The two stars I am giving this book is because it DID teach me how power hungry people behave and what manipulation tactics they use. So, this book is invaluable in that it clearly lays down for people who have been on the receiving end of bullies, narcissistic people and manipulators, exactly what tactics they are using. So, while this will disturb you to the core, please read it if you been taken advantage of people like these in the past. For Self Defense and Awareness Purposes solely. Now that I have said that, this is a highly disturbing read. Yes, many power hungry people do behave this way. Yes, this is the REALITY of how people and institutions around the world manipulate and push people with less people around. But the author seems to be condoning them. I was deeply disturbed by this book and the author's ""voice."" If they meant this as an impartial study of reality (sad and depressing as that is), that is NOT how this comes across at all. In fact, I think a lot of the people who will be attracted to this book will be power hungry, narcissistic or outright narcissists. And this book is a manual that will help them hurt other people. And the rest who stumble across this book will probably be disgusted by it and shrink back. But to those, I say: Read this book as self defense. I am not sure what exactly the author intended by writing this book but we can use it to defend ourselves against predators. The next time you come across someone at work or at home whose power moves you just don't understand, look at this book. They are probably using one of these tactics that normal, decent people (which I think most, or at least, many people are) just don't use. This is truly a manual for how to become a narcissist.
","Reviewed in the United States on March 30, 2020"
Pk,5.0 out of 5 stars,"
Classic book. Incredibly important read for anyone who wants to understand power and power play dynamics in any area of life, among countries, within corporate America, in your own relationships. Echoing all 5-star reviews!
","Reviewed in the United States on March 25, 2020"
Billy,5.0 out of 5 stars,"
If I say this book saved my life it would seem like an exageration, but that's exactly how I feel about it.  Contrary to what some reviewers might write, in my opinion and experience this book doesn't turn you into a monster, but rather informs you well enough to see the monsters around you, how they operate in all manner of obvious or subtle ways to take advantage of you, and how you can avoid or deal with them.  Basically, it doesn't tell you to create pot-holes for others to stumble upon or fall into, but opens your eyes to see the pot-holes and how to navigate your affairs safely around them.  My business partner is a modern-day Shylock -- a manipulating, lying, greedy opportunist -- who doesn't hesitate to grab all she could under the disguise of a very sweet, caring friend who constantly says ""oh, you're like family to me;"" but underneath it all she's just hoping you'd make that one irretractable mistake of signing away your whole life to her.  If you're peace-loving and easy-going, a lot of people hardly ever fail to mistake your meekness for weakness, and even ride you like a donkey to their glory if they can.  I don't know about you, but it really hurts tearfully when you suddenly wake up to the realization that you've been taken for the fool of the century all along.  Thanks to this book for helping me see what's been going on.  And a very special thanks to my friend, Marie Guillaumes, the Editor of Illuminatista: Mind Alchemy by Juliette and Julie Williams, who listened patiently to my predicament and recommended this book to me.
","Reviewed in the United States on October 25, 2013"
E. Mitchell,5.0 out of 5 stars,"
It is a huge book! It's in great condition.
","Reviewed in the United States on May 16, 2022"
Sarah,5.0 out of 5 stars,"
Well written. I listened to this book on audible and then purchased it in paperback. The history lessons are so vivid and enjoyable. Although I don't believe that life is a game to be played.
","Reviewed in the United States on March 6, 2017"
Alexis Serrano,5.0 out of 5 stars,"
HIGHLY RECOMMEND. If you like to read anything useful that may apply to real life get this book!! There is some tough realizations in this book but man is this stuff true... After you read this it will be nearly impossible for anyone to manipulate you. 5 stars, I read A LOT and this is easily my favorite so far.
","Reviewed in the United States on April 13, 2021"
Harrison Stamathis,5.0 out of 5 stars,"
This book is written very well and gives you a history lesson as well as depicting each use of all 48 laws of power. Some lessons can be used day to day, while some may take some time to apply effectively. It gives you the transgression of each law and the reversal which is greatly helpful, so you don't get caught in anothers trap or so you can avoid a backfire of your plan. This book revolves around the concept of deceit. So if your not comfortable with lying and deceiving, than this book is not for you.
","Reviewed in the United States on May 31, 2012"
mike hunt,5.0 out of 5 stars,"
Every one needs to read this book.
","Reviewed in the United States on June 5, 2022"
Jon and Family,2.0 out of 5 stars,"
Some of it is interesting, but our lives believe in the Bible An even tho this can be interesting, my heart An life could not get behind being out so deceitful.  We feel blessed in life An Jesus works for us.  Just an honest opinion.
","Reviewed in the United States on May 11, 2020"
Karin Wes,5.0 out of 5 stars,"
Really well written and great historical stories with a lessons to derive. Robert Greene is the modern day Machiavelli on how to rule and maintain power in every aspect of your life.  Highly recommend.
","Reviewed in the United States on December 1, 2020"
Marsha ,5.0 out of 5 stars,"
It was a good book you should read it
","Reviewed in the United States on May 19, 2022"
antony thomas,5.0 out of 5 stars,"
I've had and read this book several years ago and recently passed my copy to my Daughter to read. Very interesting read with examples of how to use each rule and how it was used in the past. I enjoyed the historical and informational aspects but more importantly, the impact it has made on me personally. I'm not a ""self-help"" kinda guy, but this is not your typical ""self-help"" book.... Read it and you'll totally understand what I mean.
","Reviewed in the United States on July 7, 2021"
lynn mitchell,1.0 out of 5 stars,"
I purchased this book to my kindle and I am unable to open it. It says ""start reading"" but nothing downloaded. Would love a suggestion or resend the book to download.  This situation isn't even worthy of a star, but the rating wouldn't allow, so I had to give it one.  I am so disappointed
","Reviewed in the United States on July 5, 2021"
D. Rivera,5.0 out of 5 stars,"
Workplace Survival Strategies, that could be another appropriate title for this book.  I work alongside a toxic coworker.  I needed ideas on a good defense and this book was recommended to me by my brother.  This book has allowed me to keep my sanity because I can minimize the impact of a coworker that chooses to make the work environment unbearable for someone like me who lets his work speak for his worth.
","Reviewed in the United States on August 30, 2015"
Kim Mahandru,5.0 out of 5 stars,"
The book references past strategies of power and assesses the pros and cons.  Be careful, don’t think by following these strategies you will get ahead or fool people!  It’s for sure a very fun read.
","Reviewed in the United States on January 29, 2022"
Asanka Amarasinghe,5.0 out of 5 stars,"
Robert Greenes masterpiece. I know people have different opinions. But if you ever work with a team in your life you will understand what he is talking about. True its harsh but at most places this is what goes. So I recommend people to read it if you do not like to practice it that is fine but it will tell you how others might use power to shut you down.
","Reviewed in the United States on May 18, 2018"
Lamont,3.0 out of 5 stars,"
Common knowledge; but gives you a different view of how to apply it in real world..
","Reviewed in the United States on December 3, 2021"
Amazon Customer,5.0 out of 5 stars,"
A solid must have for all those who wish to attain & maintain power! The 48 laws in this book are such valuable laws on power that are not taught in school!
","Reviewed in the United States on January 12, 2022"
Manuel Gerardo Gutierrez Valdizan,1.0 out of 5 stars,"
I Disliked the fact that my book has a parta of the Bible (2king vers 10:18-28, JEHU KING OF ISRAEL feigns worship of the idol ba’al) inserted in to part II.I have no problem with the Bible, but this is a definit mistake that should no happen.
","Reviewed in the United States on November 27, 2019"
Black Warrior Allah,5.0 out of 5 stars,"
If you havent read this book yet, then you're LATE...lol
","Reviewed in the United States on March 21, 2022"
Al,5.0 out of 5 stars,"
Great read!
","Reviewed in the United States on May 3, 2015"
Max,5.0 out of 5 stars,"
Great book by Robert green . Really adds perspective’s  that I think everyone should at least consider mentally.
","Reviewed in the United States on May 29, 2022"
Erika Diego,5.0 out of 5 stars,"
Definitely recommend this read for anyone!! Personally I loved the historical accounts that exemplified each law, either by ""observance"" or ""transgression"" as Greene put it. A very interesting read and although it may not be for everyone to apply all rules, as it does take an extreme ""at all costs"" method, devoid of empathy and heavy on self serving, it is genius insight to mastering what it takes to attain power.
","Reviewed in the United States on February 19, 2021"
Kim Nowak,5.0 out of 5 stars,"
What an interesting read- this book was highly recommended to me - and I am enjoying it - not finished reading it yet but with the money
","Reviewed in the United States on May 31, 2021"
Henry Wortmann,5.0 out of 5 stars,"
Heavy duty reading, but worth doing. Very thought-provoking ideas are presented, and worth considering. Apply to oneself? Sure, just not impulsively. I liked the style of the format and the many examples presented, both pro and con. As to whom I would recommend the book to, anyone wishing to work with people.
","Reviewed in the United States on July 8, 2018"
Martin,5.0 out of 5 stars,"
This book has incredible history references and the chapter's Power topic. Prior to reading this book, I did not have any interest in history but after completing this book, I have a list of conquerors and leaders of our history to read about! A great compilation of many different eras and how Power is leveraged to attain the end goal.
","Reviewed in the United States on February 28, 2020"
Kia Maria,5.0 out of 5 stars,"
It’s sad the world is full of these methods. Read this to be aware of the things people use to manipulate and don’t do likewise.
","Reviewed in the United States on January 4, 2020"
smiley,5.0 out of 5 stars,"
This is a gift for my daughters birthday came just in tome
","Reviewed in the United States on March 17, 2022"
EM,5.0 out of 5 stars,"
Good read
","Reviewed in the United States on June 6, 2022"
Alvin Lehnerd,5.0 out of 5 stars,"
After 44 years in the corp world of DuPont, General Electric, Black & Decker, Sunbeam, and Steelcase, I relate to all of the laws one way or another.Many of my mistakes in my career could have been avoided if I  had this book at my desk side.I was a naive, honest, ethical engineer,  manager, V.P., and President.......and was blind sided by my inability to  see the manipulations, dishonesty, political, manipulations of my trusted  leaders. My wisdom came too late.Business ethics be damned.........the  game is winning and gaining power forgetting the customer, company, the  employees and pleasing the shareholders and Wall Street above all to gain  personal reputation and be hailed by Fortune, Forbes, Business Week, etc.  feeding the ego trips of top management, taking credit for all that is good  and shedding the blame on others when things go bad.This should be  preferred reading in the Business Schools.A great job done by the  Authors.Al Lehnerd
","Reviewed in the United States on February 11, 1999"
Kent Mauresmo,5.0 out of 5 stars,"
Wow. Books like this is why I love books. You learn so much and it helps you step your game up and become a better person. Great book.
","Reviewed in the United States on October 22, 2017"
Clark,5.0 out of 5 stars,"
My son asked for this for Christmas. I ordered one for myself to read as well.
","Reviewed in the United States on December 23, 2021"
JKN,5.0 out of 5 stars,"
This is a scary book. 5 stars for audacity.
","Reviewed in the United States on May 18, 2019"
Delaney Smith,5.0 out of 5 stars,"
This book has helped me in so many ways and I recommend to anyone!
","Reviewed in the United States on May 14, 2022"
DJ,5.0 out of 5 stars,"
This is a very interesting book. It has many fascinating historical stories.  Some may feel that some of the laws are not applicable to their lives. That may be true but it is still helpful to be aware of the laws. Knowledge is power, especially if that knowledge is awareness of the laws of power. This book is cited in 
Don't Be Yourself: Be A Better Person
, which is another great book.
","Reviewed in the United States on November 27, 2015"
AMF Professional,5.0 out of 5 stars,"
I bought this book because I thought it was the same one my daughter damaged at a client's house so I was replacing it. It's not the correct book but I feel compelled to keep it. A book like this doesn't just fall in your lap.
","Reviewed in the United States on April 9, 2021"
marce,5.0 out of 5 stars,"
muy buen libro
","Reviewed in the United States on March 29, 2022"
B. Hermsen,5.0 out of 5 stars,"
This book as really helped me open my eyes to the way others manipulate things at work for their own good.  When I first started working full time 3 years ago after college, I said I wasn't going to play the political game at work.  Since then a few people have burned me by twisting things around because they didn't like the change I was doing.  I am an industrial engineer and I am now better equipped to spot and stay a step ahead so they can't make me look bad in front of my boss again.
","Reviewed in the United States on October 11, 2009"
Danielle,5.0 out of 5 stars,"
I’ve never read a book quite like this one. Pretty incredible if you’re open minded enough to appreciate it.
","Reviewed in the United States on March 20, 2022"
Lukas,5.0 out of 5 stars,"
Was recommended this book by a friend; best decision I made in a while.This book covers plenty of topics, and is wonderful for someone who wants to be in control. 11/10 read.
","Reviewed in the United States on March 30, 2021"
Matthew,5.0 out of 5 stars,"
Ok, let's say you want to read simply because you are bored. This book is filled full of factual stories about every law to show you how the law has been used throughout history. Extremely interesting stories about houdini, casanova, napoleon, Tallyrand, pt barnum, and a bunch of chinese people. Plus many many more. Freaking awesome book of stories.Besides the stories, each lesson will improve your life. Some laws will be more important than others, but they will help you become a more respected person overall.  You only have power if people like you and want to follow you. These lessons make people like you, therefore you can influence people better.  Amazing book, you will not believe how great this book is. I knew as I read the first page of the introduction that I will love this book. Do yourself a favor and just read the introduction, then decide if you would like this book. You owe yourself the valuable knowledge contained within these pages.
","Reviewed in the United States on September 3, 2009"
Julz,5.0 out of 5 stars,"
Perfect condition! Great gift!
","Reviewed in the United States on June 16, 2022"
erika,5.0 out of 5 stars,"
My son asked for this book and says he enjoys it
","Reviewed in the United States on September 19, 2021"
Teena Weiss,5.0 out of 5 stars,"
Fascinating book.
","Reviewed in the United States on January 28, 2022"
Dej,5.0 out of 5 stars,"
This book should be used as the play book of life for anyone who wants to gain power or be aware of the tactics of manipulation, then this is the book to read. I have read the other books written by Robert Green,these books really help to open ones  eyes to the way the world really works.
","Reviewed in the United States on January 13, 2020"
Ed Barton,5.0 out of 5 stars,"
The 48 laws of power may not be nice, they may not be what you aspire to, and they may not be the world in which you wish to live.  Unfortunately, Robert Greene has nailed down 48 truisms that need to be understood by anyone responsible for managing, leading, selling, cajoling or subjected to any of those things.Greene takes the best and worst of human psychology and masterfully integrates lessons from history, quotations from classical literature and an entertaining if somewhat pedantic writing style to make the reader alert to the approach.  Reminding this reviewer of the tone taken by Machiavelli in ""The Prince"", Greene aims to both instruct and entertain while not passing moral judgement on the contents.Learn the 48 laws.  Understand that they are derivative of our nature, sociology and psychology, and accept that the information in the book is useful - if at times unpleasant to comprehend.
","Reviewed in the United States on May 20, 2014"
Chance,5.0 out of 5 stars,"
Definitely worth reading in your spare time
","Reviewed in the United States on September 30, 2021"
Jada,5.0 out of 5 stars,"
I absolutely love this book
","Reviewed in the United States on November 11, 2021"
John Amador,5.0 out of 5 stars,"
A keen reminder to be watchful of ones thoughts and how others mislead through sophistic rhetoric and undermine our influence through sowing discord and isolating people from their peers.
","Reviewed in the United States on October 27, 2019"
Tommy H.,5.0 out of 5 stars,"
A+++
","Reviewed in the United States on February 17, 2022"
Cisco Julian,5.0 out of 5 stars,"
Great book to read to understand the nature of things that happen in life. I would recommend it to others who want to expand their knowledge.
","Reviewed in the United States on May 8, 2017"
Kindle Customer,5.0 out of 5 stars,"
my father is a narcIssist so I know their characteristics very well.This book is very deceitful, I suggest reading the book by just reading the first page of every law. This book is not for the betterment of humanity, but a book for the ego mind.5 stars because the book serves as an eye opener to a many loop holes to ""power"". We do not want power. We just need to understand it.Read every law. The book should only take you minutes to read or less than a day. You only need to know it's laws not become it. Our world need better members of society that are open minded and are not subjugated to corruption.
","Reviewed in the United States on July 20, 2015"
Wyrehedd242,1.0 out of 5 stars,"
Horrible. This book should be how to be a sociopathic jerk. The behavior this book encourages is nothing short of cruel, nasty and everything that is horrible about people. I would not encourage this.
","Reviewed in the United States on August 1, 2021"
Zardoz,5.0 out of 5 stars,"
48 concepts of lying, cheating, and misusing other human beings. Even if you don't plan and behaving this way you should know what others are doing.
","Reviewed in the United States on March 11, 2020"
Alice J Shelburne,5.0 out of 5 stars,"
I refer to this book often when I have a work problem.  I have learned how to exercise restraint in what I say at work, how to delegate, and how to appear more powerful and confident than I really am.  Some of the advice you have to take with a grain of salt if you are not a ""master manipulator""; however, it sheds some great light on the power struggles of history and how to apply them to modern day.  I don't share this book with many people, as I like to keep my strategies close to my chest, but it really helps to anticipate others' power plays and avoid pitfalls of being the ""victim"".
","Reviewed in the United States on June 26, 2013"
Adrian Day,5.0 out of 5 stars,"
This was different than I expected.  It was a long but enjoyable read filled with hundreds of great historical anecdotes.  The laws themselves were helpful to me in my career and I recognized several common mistakes I have made in my life.  My only criticism is there seems a to be some contradictions among the laws themselves, but they just kept it interesting.  Will read more by the author.
","Reviewed in the United States on May 4, 2014"
Leonard Morneau,5.0 out of 5 stars,"
Great book packed with useful information. As it states on the back you could use this to achieve power, watch power or to arm yourself against it. I prefer the latter of the three. Especially in this day and age one must be aware of the ideas presented in this book. Greene uses examples all throughout history to support each law and how they apply.
","Reviewed in the United States on June 9, 2015"
Amazon Customer,1.0 out of 5 stars,"
This reminds me of something a ""pick up artist"" would write... very manipulative advice.
","Reviewed in the United States on June 8, 2018"
Michelle Halemano,5.0 out of 5 stars,"
Powerful book 5 stars read it!
","Reviewed in the United States on August 18, 2021"
SunShine,5.0 out of 5 stars,"
Thank you Robert for telling it like it is. I wish I have read it many, many years ago. It should be taught to children who want to make something of themselves. I have to say that it is not that I am applying these rules; it is just that they made me more realistic.
","Reviewed in the United States on June 25, 2017"
Tyler,5.0 out of 5 stars,"
This book talks about the laws of power in a wonderful, storytelling yet also with a moral way. I bought this book for a course and I find this book wonderful. I recommend this book to people who want to learn the basics of power or even like business and politics.
","Reviewed in the United States on February 20, 2022"
Amazon Customer,5.0 out of 5 stars,"
one of the best book about these matters. Only the 36 chinese stratagems can be defined as more intuitive (even if more difficult to understand in everyday life). This book will unveil a bitter truth about human beings: all human beings, included your family, your friends, colleagues...all of us search for personal satisfaction, which could be money, sex, political power. Based on this assumption, a lot of behaviours could be observed. Most of them have common roots. This book not only list them but give you clear and (interesting) examples, through human history. Which is to say: hey guys, we all know that this sucks, but we are not the only ones to behave in this way...look at Napoleon, Talleyrand, Sun Tzu, look at Michelangelo, etc, etc. As Baldasar Gracian said (also reported into this book)...most of our power in society is not based on what we DO, but on what we avoid to DO. I suggest this work without any basic arguments.
","Reviewed in the United States on August 16, 2014"
Kathy Smith,5.0 out of 5 stars,"
Great quality
","Reviewed in the United States on January 13, 2022"
LoveWins,5.0 out of 5 stars,"
Needed informative
","Reviewed in the United States on December 23, 2021"
MDS.,5.0 out of 5 stars,"
My daughter wanted this for the holiday and she absolutely loved it!!
","Reviewed in the United States on January 23, 2021"
josh steckbauer,5.0 out of 5 stars,"
Awesome book. Ive learned a lot from this book.
","Reviewed in the United States on May 1, 2021"
cavemanf16,5.0 out of 5 stars,"
This book, while somewhat repetitive towards the end of the book, is organized well, written superbly, and is a wonderful overview of the meaning and application of power throughout. Many vignettes of both fables, stories (whether fictional, rumored, or historical) put the reader in the shoes of those in a position of power (or lack thereof), and how to use power to affect outcomes. Marvelous book.
","Reviewed in the United States on June 14, 2018"
